Date,Gold,Silver,Platinum
1985/01/28,297.7,6.08,270
1985/01/29,303.2,6.23,271.5
1985/01/30,302.9,6.21,272.5
1985/01/31,306.6,6.37,283
1985/02/01,303.6,6.23,277
1985/02/04,301.2,6.16,271
1985/02/05,302,6.17,271
1985/02/06,302.8,6.21,275.5
1985/02/07,301.6,6.14,276.5
1985/02/08,299.8,6.08,273.5
1985/02/11,300.1,6.09,271.5
1985/02/12,302.5,6.22,274.5
1985/02/13,303.2,6.26,274.5
1985/02/14,304.1,6.33,274.5
1985/02/15,304,6.27,274.5
1985/02/19,302.6,6.19,272.5
1985/02/20,302.9,6.21,273
1985/02/21,299.8,6.09,272
1985/02/22,298.4,6.04,272
1985/02/25,284.2,5.61,249
1985/02/26,285.7,5.64,252.5
1985/02/27,290.8,5.75,252.5
1985/02/28,287.7,5.65,251
1985/03/01,287.2,5.69,247.5
1985/03/04,288.6,5.65,247.5
1985/03/05,287.9,5.68,254
1985/03/06,287.4,5.72,254
1985/03/07,289.6,5.69,254
1985/03/08,291,5.71,254
1985/03/11,291,5.66,243
1985/03/12,288.4,5.57,243
1985/03/13,290.2,5.71,246.5
1985/03/14,290.7,5.68,245.5
1985/03/15,292.7,5.68,247.5
1985/03/18,298.8,5.87,252.5
1985/03/19,316.7,6.21,270.7
1985/03/20,324,6.36,279
1985/03/21,318.5,6.35,271.5
1985/03/22,315.5,6.32,272.5
1985/03/25,314.6,6.3,272.5
1985/03/26,323.7,6.48,275
1985/03/27,330.4,6.74,280
1985/03/28,326.2,6.58,280
1985/03/29,329.2,6.67,287.5
1985/04/01,321.1,6.52,268
1985/04/02,318.7,6.42,268.5
1985/04/03,321.2,6.5,268.5
1985/04/04,316.7,6.43,264
1985/04/08,317.5,6.57,274.5
1985/04/09,323.1,6.67,280
1985/04/10,327.2,6.7,286
1985/04/11,332.2,6.72,286
1985/04/12,329.9,6.68,286
1985/04/15,334.2,6.65,286
1985/04/16,330.5,6.52,293
1985/04/17,327.3,6.49,285
1985/04/18,329.7,6.48,284
1985/04/19,327,6.44,285
1985/04/22,327.7,6.42,286.7
1985/04/23,326.6,6.31,284
1985/04/24,322,6.16,281
1985/04/25,322.5,6.2,281
1985/04/26,323.5,6.23,281.5
1985/04/29,322.5,6.29,280.5
1985/04/30,321.3,6.27,280.5
1985/05/01,312.5,6.16,267.5
1985/05/02,313.2,6.18,268.5
1985/05/03,312.7,6.21,270
1985/05/06,309.9,6.14,265.2
1985/05/07,313.5,6.27,266
1985/05/08,312.8,6.28,265
1985/05/09,315.1,6.36,265
1985/05/10,314.5,6.32,267
1985/05/13,321,6.52,276.2
1985/05/14,326.5,6.65,280
1985/05/15,322.7,6.54,277.5
1985/05/16,320.1,6.51,277.5
1985/05/17,322.5,6.51,277.5
1985/05/20,323.3,6.39,284
1985/05/21,314.9,6.17,270
1985/05/22,316.3,6.18,272
1985/05/23,315.4,6.12,269.5
1985/05/24,314.7,6.11,269.8
1985/05/28,311.3,6.02,269.8
1985/05/29,312,6.2,269.8
1985/05/30,314.6,6.15,264
1985/05/31,314,6.21,264.8
1985/06/03,318.1,6.07,264.8
1985/06/04,315.7,6.1,269.8
1985/06/05,314.2,6.1,268
1985/06/06,314.8,6.13,268
1985/06/07,314.3,6.14,263.3
1985/06/10,312,6.09,263.8
1985/06/11,315,6.16,259
1985/06/12,314.5,6.18,259
1985/06/13,313.7,6.14,259
1985/06/14,318.2,6.23,259
1985/06/17,318.9,6.28,259
1985/06/18,323.7,6.39,259
1985/06/19,325.4,6.36,259
1985/06/20,318.1,6.2,267.5
1985/06/21,313.4,6.15,267.5
1985/06/24,314.6,6.15,264.5
1985/06/25,315.5,6.15,263
1985/06/26,316.7,6.17,263
1985/06/27,315,6.14,263
1985/06/28,317.7,6.14,264
1985/07/01,313.9,6.04,260
1985/07/02,308.2,5.91,256.5
1985/07/03,310.3,5.91,255.5
1985/07/08,309.2,6.01,258
1985/07/09,314.8,6.04,264.2
1985/07/10,314.8,6.05,269
1985/07/11,313.5,6.05,260
1985/07/12,312.6,6.06,260
1985/07/15,315.8,6.07,262
1985/07/16,321.7,6.18,262
1985/07/17,325.6,6.26,266
1985/07/18,320,6.14,274.5
1985/07/19,318.9,6.13,272.5
1985/07/22,317.2,6.08,271
1985/07/23,322.5,6.13,274.5
1985/07/24,317.7,6.06,273
1985/07/25,317.4,6.09,274
1985/07/26,316.9,6.12,273
1985/07/29,326.5,6.36,276
1985/07/30,325.2,6.27,281
1985/07/31,327.5,6.27,284
1985/08/01,322.1,6.19,277
1985/08/02,320.5,6.18,277
1985/08/05,323.7,6.17,282
1985/08/06,320,6.11,274
1985/08/07,321.1,6.14,275.5
1985/08/08,322.7,6.15,277
1985/08/09,321.6,6.12,278
1985/08/12,326.9,6.28,292.5
1985/08/13,326.7,6.26,293
1985/08/14,326,6.27,293.5
1985/08/15,331.3,6.31,303.5
1985/08/16,335.3,6.39,317.5
1985/08/19,341.1,6.34,342
1985/08/20,334.4,6.27,327
1985/08/21,335.9,6.29,334
1985/08/22,335.5,6.29,332
1985/08/23,334.8,6.2,328
1985/08/26,337.6,6.3,331
1985/08/27,336,6.31,335
1985/08/28,340.9,6.35,345
1985/08/29,337.2,6.29,342
1985/08/30,333.2,6.26,335.5
1985/09/03,328.2,6.15,322
1985/09/04,326,6.04,321
1985/09/05,326,6.04,316
1985/09/06,317.6,6.09,309.5
1985/09/09,319.6,6.1,312.5
1985/09/10,321.6,6.03,321.5
1985/09/11,321,6.05,318.5
1985/09/12,319.5,6.03,310.5
1985/09/13,321.3,6.05,314
1985/09/16,319.5,6.05,311.5
1985/09/17,317.8,5.96,307.5
1985/09/18,316.5,5.88,297.7
1985/09/19,316.5,5.99,298.7
1985/09/20,319.1,6,304.5
1985/09/23,327.7,6.13,313.5
1985/09/24,327.9,6.16,313.5
1985/09/25,328.5,6.17,313
1985/09/26,329.2,6.1,316.7
1985/09/27,329.2,6.1,316.7
1985/09/30,326,6.04,309.5
1985/10/01,322.5,6.03,306
1985/10/02,325.2,6.06,311.5
1985/10/03,325.1,6.33,312.5
1985/10/04,328,6.32,316
1985/10/07,326,6.29,318
1985/10/08,326.6,6.3,317.5
1985/10/09,326.8,6.26,320.5
1985/10/10,325.7,6.23,321
1985/10/11,325.8,6.22,317.7
1985/10/14,325.8,6.22,323
1985/10/15,327.2,6.25,324
1985/10/16,323.9,6.15,320
1985/10/17,325.7,6.15,321.5
1985/10/18,326.5,6.14,321.5
1985/10/21,326.4,6.13,322
1985/10/22,328,6.2,330.7
1985/10/23,325.9,6.16,336.7
1985/10/24,326.4,6.19,332
1985/10/25,325.6,6.16,335
1985/10/28,326.5,6.19,338
1985/10/29,326.5,6.18,336
1985/10/30,326.4,6.15,334
1985/10/31,325.3,6.09,331
1985/11/01,323.7,6.15,324
1985/11/04,325.6,6.09,324.5
1985/11/05,324.8,6.09,322.5
1985/11/06,324.6,6.09,324
1985/11/07,323.2,6.06,324
1985/11/08,322.2,6,324
1985/11/11,323.3,6.08,327.5
1985/11/12,323.3,6.08,329
1985/11/13,324.5,6.2,338.5
1985/11/14,325.5,6.15,339
1985/11/15,325.6,6.13,336
1985/11/18,323.7,6.09,334.5
1985/11/19,324.6,6.12,336.5
1985/11/20,325.9,6.16,336.5
1985/11/21,325.8,6.17,336.5
1985/11/22,326.7,6.23,344.5
1985/11/25,330.4,6.28,346.5
1985/11/26,331.5,6.25,354
1985/11/27,328.4,6.17,347
1985/11/29,328.4,6.17,346
1985/12/02,321.7,6.04,345
1985/12/03,322.8,6.08,360
1985/12/04,324.2,6.06,345
1985/12/05,323,6.05,340
1985/12/06,322.3,6.03,327
1985/12/09,317.6,5.89,325.25
1985/12/10,317.2,5.81,321
1985/12/11,315.5,5.71,323
1985/12/12,317.7,5.83,328
1985/12/13,318,5.87,331.5
1985/12/16,318.6,5.85,330.5
1985/12/17,321.1,5.84,325
1985/12/18,320.3,5.72,330
1985/12/19,325.8,5.86,338
1985/12/20,325.5,5.89,338.2
1985/12/23,327.6,5.88,334
1985/12/24,327.6,5.88,338.5
1985/12/26,325.5,5.79,338.5
1985/12/27,326.8,5.88,341.2
1985/12/30,327,5.86,337
1985/12/31,329.7,5.83,342.5
1986/01/02,326.5,5.73,353.5
1986/01/03,327,5.81,360
1986/01/06,328,5.82,358.5
1986/01/07,330.2,5.86,357.2
1986/01/08,332.6,5.87,366.5
1986/01/09,333.5,6.01,357.5
1986/01/10,340.4,6.12,360.5
1986/01/13,339.4,6.03,366.2
1986/01/14,341,6.02,377.5
1986/01/15,347,6.09,365
1986/01/16,363.2,6.16,369.5
1986/01/17,352.6,6.12,369.5
1986/01/20,351,6.14,373
1986/01/21,356.7,6.12,372
1986/01/22,353.2,6.15,375.5
1986/01/23,350.3,6.15,377.5
1986/01/24,354,6.19,372.5
1986/01/27,358.4,6.2,372
1986/01/28,353.2,6.19,375.5
1986/01/29,353.5,6.16,367
1986/01/30,358.2,6.19,364.5
1986/01/31,350.5,6.08,350
1986/02/03,347.3,6.03,351
1986/02/04,338.8,5.83,355.5
1986/02/05,337.3,5.9,356.5
1986/02/06,337.1,5.9,363.5
1986/02/07,337.4,5.88,357.5
1986/02/10,340.1,5.91,361.5
1986/02/11,336,5.9,358.5
1986/02/12,337.5,5.89,360
1986/02/13,334,5.9,379
1986/02/14,331.3,5.89,397
1986/02/18,337.5,5.91,392
1986/02/19,341.6,5.95,391.7
1986/02/20,337.3,5.89,406.5
1986/02/21,338,5.88,424
1986/02/24,342,5.88,412
1986/02/25,352.6,5.98,393.5
1986/02/26,346,5.87,397.5
1986/02/27,336.9,5.65,395.5
1986/02/28,338.1,5.61,396.5
1986/03/03,335.6,5.51,403.5
1986/03/04,337.1,5.57,411.5
1986/03/05,341.7,5.55,402
1986/03/06,344.7,5.59,395.5
1986/03/07,343.3,5.6,400.5
1986/03/10,340.5,5.59,408.5
1986/03/11,342.9,5.63,411.5
1986/03/12,344.1,5.69,413
1986/03/13,349.8,5.75,418
1986/03/14,348,5.68,423.5
1986/03/17,349.9,5.77,418.5
1986/03/18,351.1,5.77,425.5
1986/03/19,346.7,5.72,433.5
1986/03/20,350.6,5.73,432.5
1986/03/21,352.9,5.76,432
1986/03/24,350.4,5.71,417.5
1986/03/25,352,5.64,426.5
1986/03/26,344.3,5.61,414
1986/03/27,344.2,5.6,393
1986/03/31,338.1,5.33,405.5
1986/04/01,333.1,5.12,401
1986/04/02,335.5,5.15,406.5
1986/04/03,334.7,5.11,413.5
1986/04/04,334.5,5.14,420.5
1986/04/07,337.9,5.31,427
1986/04/08,339.6,5.23,429
1986/04/09,338.1,5.35,432.7
1986/04/10,337.7,5.37,421.5
1986/04/11,341.9,5.47,428.5
1986/04/14,341.8,5.39,423.5
1986/04/15,342,5.4,423.5
1986/04/16,339,5.41,417.5
1986/04/17,340.1,5.42,413.5
1986/04/18,343,5.24,421
1986/04/21,341.6,5.13,423.7
1986/04/22,344.3,5.13,422.5
1986/04/23,346.2,5.16,425.5
1986/04/24,344.7,5.13,423.7
1986/04/25,344.4,5.13,422
1986/04/28,343.4,5.05,418.5
1986/04/29,342.4,5.15,424
1986/04/30,345.7,5.1,409.5
1986/05/01,345.3,5.12,413.5
1986/05/02,341.6,5.13,410.5
1986/05/05,343,5.19,415.5
1986/05/06,340.4,5.16,417
1986/05/07,342.4,5.22,421
1986/05/08,342.998,5.21,422.7
1986/05/09,343.83,5.23,419
1986/05/12,342.998,5.24,415.5
1986/05/13,339.879,5.1,416
1986/05/14,340.191,5.1,412.7
1986/05/15,339.567,5.04,406.5
1986/05/16,340.815,5.06,405.5
1986/05/19,338.215,4.99,403.5
1986/05/20,336.031,4.87,406.5
1986/05/21,335.928,4.95,406.5
1986/05/22,338.423,5.04,413.2
1986/05/23,338.423,5.16,416.5
1986/05/27,338.943,5.11,417.5
1986/05/28,338.943,5.12,417.5
1986/05/29,339.983,5.17,418
1986/05/30,339.983,5.25,423
1986/06/02,338.423,5.16,417
1986/06/03,338.943,5.13,422
1986/06/04,337.591,5.13,421.5
1986/06/05,338.423,5.16,421
1986/06/06,338.423,5.17,438.5
1986/06/09,338.423,5.25,436.5
1986/06/10,345.494,5.38,452
1986/06/11,344.454,5.08,449.5
1986/06/12,343.518,5.08,432.5
1986/06/13,344.454,5.01,431
1986/06/16,335.928,5.069,436
1986/06/17,333.328,4.96,434.5
1986/06/18,336.655,4.902,434.5
1986/06/19,336.655,4.932,434.5
1986/06/20,336.655,4.973,436.5
1986/06/23,337.591,5.014,439.5
1986/06/24,339.983,5.094,440.5
1986/06/25,341.126,5.1,439.2
1986/06/26,341.958,5.184,435
1986/06/27,340.399,5.234,431.5
1986/06/30,343.518,5.13,424
1986/07/01,341.958,5.13,433
1986/07/02,339.983,5.082,436
1986/07/03,340.399,5.153,435
1986/07/04,340.399,5.144,434.5
1986/07/07,341.854,5.171,435
1986/07/08,343.934,5.323,434.5
1986/07/09,343.934,5.309,434.5
1986/07/10,343.518,5.353,437.5
1986/07/11,344.974,5.264,438.7
1986/07/14,342.582,5.064,440
1986/07/15,344.454,5.037,447
1986/07/16,343.934,5.094,446
1986/07/17,344.454,5.082,441
1986/07/18,344.974,5.112,441.5
1986/07/21,351.004,5.1,444.5
1986/07/22,350.485,5.071,448.7
1986/07/23,344.454,5.082,448.5
1986/07/24,345.494,4.973,447.7
1986/07/25,346.221,5.064,457
1986/07/28,350.485,5.082,463.5
1986/07/29,348.405,5.028,467.7
1986/07/30,348.405,5.052,466.7
1986/07/31,354.644,5.052,478.5
1986/08/01,358.803,5.052,487
1986/08/04,356.827,5.112,496.5
1986/08/05,355.683,5.071,540
1986/08/06,358.803,5.037,531.5
1986/08/07,359.115,5.052,552
1986/08/08,366.081,5.019,535
1986/08/11,385.005,5.082,543
1986/08/12,381.678,5.071,534
1986/08/13,388.541,5.014,534.5
1986/08/14,382.51,5.028,538.5
1986/08/15,382.51,4.973,566
1986/08/18,374.712,5.014,587
1986/08/19,372.112,5.019,582
1986/08/20,375.647,5.028,589
1986/08/21,381.678,5.014,591
1986/08/22,379.391,4.989,609
1986/08/26,378.143,5.014,616
1986/08/27,378.039,4.973,641
1986/08/28,383.238,5.064,649
1986/08/29,383.446,5.112,650
1986/09/01,387.709,5.171,671.5
1986/09/02,391.244,5.171,660
1986/09/03,404.865,5.202,631
1986/09/04,403.722,5.184,628
1986/09/05,417.447,5.234,559
1986/09/08,415.679,5.493,572
1986/09/09,409.752,5.398,559
1986/09/10,416.399,5.369,575
1986/09/11,400.703,5.271,568
1986/09/12,417.491,5.294,567.5
1986/09/15,409.575,5.164,582.5
1986/09/16,413.26,5.1,599.5
1986/09/17,411.349,5.13,615
1986/09/18,416.399,5.164,609
1986/09/19,428.957,5.194,591
1986/09/22,435.099,5.13,589
1986/09/23,431.823,5.082,575
1986/09/24,433.051,5.171,558
1986/09/25,431.823,5.13,556
1986/09/26,431.004,5.194,577
1986/09/29,427.455,5.184,602.5
1986/09/30,422.815,5.362,602.5
1986/10/01,422.951,5.271,598
1986/10/02,432.096,5.443,585
1986/10/03,436.6,5.475,587
1986/10/06,437.146,5.612,573.5
1986/10/07,437.146,5.762,585
1986/10/08,438.374,5.532,585
1986/10/09,431.823,5.754,562
1986/10/10,430.321,5.754,573
1986/10/13,431.55,5.853,559
1986/10/14,428.274,5.74,587
1986/10/15,422.951,5.793,596
1986/10/16,425.135,5.862,592
1986/10/17,420.494,5.96,579
1986/10/20,425.135,5.909,571
1986/10/21,424.043,5.923,575
1986/10/22,423.633,5.862,576
1986/10/23,423.77,5.652,570
1986/10/24,411.349,5.603,571
1986/10/27,409.302,5.534,573.5
1986/10/28,411.349,5.523,569.5
1986/10/29,404.525,5.673,573
1986/10/30,404.661,5.74,561
1986/10/31,399.884,5.714,557
1986/11/03,405.48,5.701,560.5
1986/11/04,407.528,5.74,564
1986/11/05,405.48,5.641,549
1986/11/06,407.528,5.652,529.5
1986/11/07,408.62,5.641,530
1986/11/10,410.53,5.583,535
1986/11/11,403.842,5.555,485
1986/11/12,404.661,5.564,487
1986/11/13,406.982,5.555,492.5
1986/11/14,407.391,5.714,480
1986/11/17,390.739,5.74,473.5
1986/11/18,390.33,5.772,474
1986/11/19,392.514,5.754,478.5
1986/11/20,388.692,5.641,478.5
1986/11/21,382.823,5.641,489
1986/11/24,381.048,5.652,475
1986/11/25,383.778,5.573,485
1986/11/26,381.048,5.632,475
1986/11/27,382.823,5.613,476
1986/11/28,388.965,5.701,477.5
1986/12/01,391.012,5.74,472
1986/12/02,387.873,5.673,488
1986/12/03,391.695,5.632,478
1986/12/04,386.918,5.731,482
1986/12/05,387.191,5.772,493
1986/12/08,386.918,5.673,491.6
1986/12/09,386.099,5.701,484.5
1986/12/10,390.33,5.772,478.5
1986/12/11,387.737,5.782,484.5
1986/12/12,389.784,5.603,484.5
1986/12/15,393.879,5.534,475.5
1986/12/16,393.333,5.534,472
1986/12/17,391.285,5.424,478.5
1986/12/18,392.241,5.345,475
1986/12/19,391.149,5.285,473.5
1986/12/22,392.377,5.285,479
1986/12/23,388.692,5.241,472
1986/12/24,387.873,5.271,484.5
1986/12/29,387.327,5.363,476.5
1986/12/30,387.873,5.424,489
1986/12/31,390.193,5.345,510
1987/01/02,403.102,5.4468,535
1987/01/05,399.084,5.345,534
1987/01/06,400.713,5.3986,541
1987/01/07,399.844,5.3557,532.5
1987/01/08,401.473,5.3986,532
1987/01/09,403.971,5.4575,549.5
1987/01/12,410.595,5.5753,536
1987/01/13,409.184,5.5271,519
1987/01/14,417.437,5.5967,525.5
1987/01/15,414.614,5.5539,515
1987/01/16,415.374,5.5753,524
1987/01/19,421.456,5.645,533
1987/01/20,414.179,5.5164,534
1987/01/21,406.577,5.4575,531.5
1987/01/22,408.749,5.5378,526.5
1987/01/23,402.776,5.4735,532.5
1987/01/26,407.337,5.586,515
1987/01/27,411.138,5.645,519.5
1987/01/28,406.903,5.586,519
1987/01/29,409.184,5.5753,520.5
1987/01/30,403.428,5.5003,523.5
1987/02/02,406.36,5.5057,527.5
1987/02/03,399.844,5.4682,527.5
1987/02/04,402.776,5.4843,519
1987/02/05,399.084,5.4682,510
1987/02/06,403.102,5.5325,510
1987/02/09,405.708,5.5592,499.5
1987/02/10,402.559,5.5057,506
1987/02/11,400.495,5.5057,518
1987/02/12,400.387,5.4843,517
1987/02/13,396.912,5.4146,512.5
1987/02/16,396.912,5.4253,525.5
1987/02/17,394.088,5.4146,520.5
1987/02/18,391.047,5.3557,525
1987/02/19,393.545,5.3986,519
1987/02/20,399.301,5.4414,523
1987/02/23,403.428,5.4682,531
1987/02/24,401.473,5.4253,530
1987/02/25,405.708,5.4789,533.5
1987/02/26,403.862,5.4414,526
1987/02/27,405.274,5.4414,525.5
1987/03/02,404.188,5.4146,528
1987/03/03,404.405,5.4253,537
1987/03/04,406.034,5.4575,537.5
1987/03/05,410.378,5.5325,521.2
1987/03/06,405.817,5.5592,525
1987/03/09,403.971,5.5164,524.2
1987/03/10,405.708,5.5164,522.5
1987/03/11,406.577,5.5325,523.5
1987/03/12,408.206,5.5753,528
1987/03/13,404.405,5.5753,532.7
1987/03/16,405.165,5.5592,545.5
1987/03/17,402.559,5.5325,541.5
1987/03/18,404.731,5.5432,541.5
1987/03/19,403.428,5.5325,572.5
1987/03/20,403.971,5.5003,561
1987/03/23,407.88,5.6289,561
1987/03/24,412.985,5.6771,565
1987/03/25,411.899,5.8378,561.5
1987/03/26,411.03,5.8699,562
1987/03/27,419.935,6.0467,568
1987/03/30,420.695,6.2502,556
1987/03/31,417.763,6.1645,558
1987/04/01,417.003,6.2342,580
1987/04/02,417.546,6.3199,586
1987/04/03,419.175,6.4002,595.5
1987/04/06,418.632,6.5288,592.5
1987/04/07,421.999,6.7163,585
1987/04/08,419.609,6.5877,609
1987/04/09,431.99,6.7913,609
1987/04/10,432.207,6.7591,594.5
1987/04/13,437.854,6.8609,611
1987/04/14,450.344,7.2412,628
1987/04/15,441.764,7.1394,645
1987/04/16,442.85,7.1609,591
1987/04/20,452.516,7.2412,597
1987/04/21,447.194,7.6215,597
1987/04/22,449.801,7.8733,600
1987/04/23,459.683,7.9965,608
1987/04/24,461.855,8.5696,614
1987/04/27,443.719,9.7159,614.5
1987/04/28,451.647,9.6891,609
1987/04/29,451.647,7.6965,604
1987/04/30,453.602,7.8947,603.5
1987/05/01,456.534,7.9965,621
1987/05/04,460.009,8.05,617
1987/05/05,458.054,8.35,613.5
1987/05/06,458.163,8.2964,622.5
1987/05/07,457.406,8.3179,628.5
1987/05/08,454.571,8.253,618.5
1987/05/11,455.692,8.3738,627.5
1987/05/12,458.79,8.4726,616
1987/05/13,458.065,8.7105,598
1987/05/14,463.668,8.6299,576
1987/05/15,467.491,8.8458,574
1987/05/18,473.687,9.0947,581.5
1987/05/19,469.798,9.3545,573
1987/05/20,474.94,9.4752,573
1987/05/21,469.469,9.1166,574.5
1987/05/22,463.998,8.8166,575.5
1987/05/25,465.448,8.297,570.5
1987/05/26,451.078,8.3555,582
1987/05/27,448.968,7.4663,580
1987/05/28,451.671,7.3455,573
1987/05/29,451.275,7.5578,574
1987/06/01,446.661,7.6163,581
1987/06/02,455.89,7.437,585
1987/06/03,451.473,7.6785,575
1987/06/04,452.594,7.5065,583
1987/06/05,453.583,7.7664,575.7
1987/06/08,455.956,7.8578,577
1987/06/09,452.726,7.6456,577
1987/06/10,457.406,7.9164,556
1987/06/11,457.999,7.8688,552
1987/06/12,454.374,7.9493,552
1987/06/15,451.144,7.7481,548.5
1987/06/16,451.737,7.6163,549
1987/06/17,446.793,7.426,555.5
1987/06/18,450.221,7.3858,553
1987/06/19,449.496,7.4663,556
1987/06/22,437.037,7.3565,559
1987/06/23,440.465,6.8076,554.5
1987/06/24,443.563,6.8772,560
1987/06/25,440.663,6.9284,560
1987/06/26,443.695,6.8479,559
1987/06/29,445.936,6.9467,558
1987/06/30,448.639,7.0967,557.5
1987/07/01,446.859,7.2687,565
1987/07/02,445.738,7.2065,577
1987/07/03,443.695,7.4077,571
1987/07/06,443.497,7.2577,573.5
1987/07/07,442.245,7.2467,569.5
1987/07/08,444.75,7.3968,574.5
1987/07/09,445.277,7.6383,579
1987/07/10,444.156,7.6895,573.5
1987/07/13,446.463,7.5578,577.5
1987/07/14,447.386,7.609,581.7
1987/07/15,452.923,7.598,594.5
1987/07/16,452.989,7.7371,604
1987/07/17,450.155,7.7298,596
1987/07/20,451.473,7.437,607.5
1987/07/21,453.055,7.6273,625
1987/07/22,454.571,7.7481,631.5
1987/07/23,454.835,7.7371,624
1987/07/24,453.714,7.6968,617
1987/07/27,453.451,7.7078,611
1987/07/28,456.351,7.7078,616.5
1987/07/29,457.472,7.9274,630.5
1987/07/30,459.186,7.9969,633.5
1987/07/31,463.734,8.1176,631.5
1987/08/03,472.237,8.297,607
1987/08/04,477.643,8.597,593
1987/08/05,466.568,8.8275,604
1987/08/06,467.755,8.5787,597
1987/08/07,463.338,8.2494,600
1987/08/10,460.042,8.0371,600
1987/08/11,463.998,7.7188,608
1987/08/12,462.877,7.8286,603
1987/08/13,459.581,7.8395,595.5
1987/08/14,451.737,7.7993,601
1987/08/17,453.648,7.5285,596
1987/08/18,458.395,7.5468,601.5
1987/08/19,457.999,7.759,599
1987/08/20,456.483,7.8066,612
1987/08/21,454.967,7.759,612
1987/08/24,460.438,7.6566,611
1987/08/25,457.142,7.7773,611
1987/08/26,457.867,7.7188,591
1987/08/27,456.483,7.6968,585
1987/08/28,452.857,7.5468,591
1987/08/31,452.857,7.3675,581
1987/09/01,454.374,7.3895,585.5
1987/09/02,462.943,7.3382,580
1987/09/03,463.668,7.7773,585
1987/09/04,462.679,7.7188,588
1987/09/07,463.734,7.6273,585.5
1987/09/08,458.065,7.6785,583.5
1987/09/09,456.341,7.4883,593
1987/09/10,460.145,7.5163,594
1987/09/11,458.489,7.5897,591
1987/09/14,456.525,7.7067,589
1987/09/15,458.243,7.636,583.5
1987/09/16,457.507,7.636,584
1987/09/17,459.225,7.4565,563.7
1987/09/18,460.943,7.5734,567.7
1987/09/21,459.716,7.4891,571.7
1987/09/22,461.679,7.4674,569
1987/09/23,461.556,7.5952,569
1987/09/24,461.556,7.6469,563.2
1987/09/25,459.777,7.617,577
1987/09/28,459.654,7.5734,581.7
1987/09/29,459.716,7.6034,575.7
1987/09/30,458.979,7.5789,580
1987/10/01,453.457,7.5245,592.5
1987/10/02,454.868,7.5353,590.5
1987/10/05,456.832,7.5462,611.7
1987/10/06,457.016,7.6034,578.5
1987/10/07,457.63,7.6278,572.2
1987/10/08,457.998,7.6469,570.7
1987/10/09,461.372,7.6578,574.2
1987/10/12,461.556,7.8046,568.2
1987/10/13,458.55,7.7366,552.5
1987/10/14,460.636,7.6958,542.7
1987/10/15,462.354,7.7937,526.7
1987/10/16,467.201,7.7149,523.7
1987/10/19,479.227,7.84,529.2
1987/10/20,465.974,8.1636,508
1987/10/21,466.895,7.2253,499
1987/10/22,470.208,7.3966,463
1987/10/23,473.153,7.4266,479
1987/10/26,475.791,7.5381,496
1987/10/27,475.239,7.4374,476
1987/10/28,478.921,7.345,476
1987/10/29,470.883,7.345,497
1987/10/30,468.674,7.0975,502.5
1987/11/02,469.472,6.937,495.2
1987/11/03,467.876,6.9288,507.7
1987/11/04,465.851,6.7983,504.7
1987/11/05,457.139,6.6596,505.2
1987/11/06,460.145,6.2679,497
1987/11/09,461.986,6.4474,499.7
1987/11/10,460.697,6.5181,507.2
1987/11/11,461.372,6.51,513.2
1987/11/12,463.09,6.5399,523.7
1987/11/13,464.379,6.6297,514.2
1987/11/16,461.556,6.7194,518.2
1987/11/17,464.44,6.7194,510.5
1987/11/18,462.906,6.6976,497.7
1987/11/19,464.747,6.578,490.5
1987/11/20,469.165,6.5589,490
1987/11/23,474.871,6.6596,492
1987/11/24,474.81,6.9397,495.2
1987/11/25,476.405,6.9098,504.2
1987/11/26,477.387,6.918,511
1987/11/27,484.504,6.9479,498.5
1987/11/30,490.456,7.1491,496
1987/12/01,489.965,7.0295,490.7
1987/12/02,487.449,6.9288,496.7
1987/12/03,488.063,6.9587,499.7
1987/12/04,483.277,6.888,504
1987/12/07,481.252,6.7276,501
1987/12/08,483.338,6.6677,501
1987/12/09,484.136,6.7085,501
1987/12/10,492.112,6.7276,518.7
1987/12/11,496.714,6.9288,508.5
1987/12/14,498.248,6.9288,500.5
1987/12/15,482.479,6.9887,500.5
1987/12/16,485.67,6.6297,497
1987/12/17,484.995,6.7493,513.7
1987/12/18,479.964,6.8173,504.2
1987/12/21,479.473,6.7575,501.2
1987/12/22,483.4,6.7983,502.5
1987/12/23,482.663,6.7983,499
1987/12/24,485.854,6.7385,505.2
1987/12/28,487.572,6.7983,503.5
1987/12/29,485.977,6.7983,497
1987/12/30,482.479,6.85,490
1987/12/31,485.854,6.7085,495.5
1988/01/04,480.761,6.6079,498
1988/01/05,480.761,6.6786,496
1988/01/06,483.277,6.4692,492.7
1988/01/07,481.314,6.85,492.7
1988/01/08,483.952,7.0784,485
1988/01/11,481.866,6.9288,481.7
1988/01/12,480.592,6.9778,478.2
1988/01/13,480.358,6.869,466
1988/01/14,487.062,6.7392,453.5
1988/01/15,473.965,6.79,460
1988/01/18,475.68,6.8799,442.5
1988/01/19,477.083,6.5996,445.5
1988/01/20,476.304,6.6694,446
1988/01/21,478.409,6.6895,451.5
1988/01/22,477.473,6.6292,446.7
1988/01/25,469.443,6.6989,463.2
1988/01/26,470.067,6.7793,460.2
1988/01/27,465.779,6.5771,465.7
1988/01/28,466.558,6.6481,469.2
1988/01/29,454.007,6.6481,470.7
1988/02/01,454.63,6.6185,470.7
1988/02/02,454.007,6.518,463.5
1988/02/03,439.35,6.5771,468.7
1988/02/04,445.041,6.518,460
